Country,Data points collected from the beginning of data set,Cumulative number of infected people,Cumulative number of dead people
Nigeria,1,19,7
Nigeria,2,19,7
Nigeria,3,20,7
Nigeria,4,20,7
Nigeria,5,20,7
Nigeria,6,20,7
Nigeria,7,20,7
Nigeria,8,20,7
Nigeria,9,20,7
Nigeria,10,20,7
Nigeria,11,20,7
Nigeria,12,21,7
Nigeria,13,21,7
Nigeria,14,21,7
Nigeria,15,21,7
Nigeria,16,21,7
Nigeria,17,21,7
Nigeria,18,21,7
Nigeria,19,21,7
Nigeria,20,21,7
Nigeria,21,21,7
Nigeria,22,21,7
Nigeria,23,21,8
Nigeria,24,21,8
Nigeria,25,21,8
Nigeria,26,21,8
Nigeria,27,21,8
Nigeria,28,21,8
Nigeria,29,21,8
Nigeria,30,21,8
Nigeria,31,21,8
Nigeria,32,21,8
Nigeria,33,21,8
Nigeria,34,21,8
Nigeria,35,21,8
Nigeria,36,21,8
Nigeria,37,21,8
Nigeria,38,21,8
Nigeria,39,21,8
Nigeria,40,21,8
Nigeria,41,21,8
Nigeria,42,21,8
Nigeria,43,21,8
Nigeria,44,21,8
Nigeria,45,21,8
Nigeria,46,21,8
Nigeria,47,21,8
Nigeria,48,21,8
Nigeria,49,21,8
Nigeria,50,21,8
Nigeria,51,21,8
Nigeria,52,21,8
Nigeria,53,21,8
Nigeria,54,21,8
Nigeria,55,21,8
Nigeria,56,21,8
Nigeria,57,21,8
Nigeria,58,21,8
Nigeria,59,21,8
Nigeria,60,21,8
Nigeria,61,21,8
Nigeria,62,21,8
Nigeria,63,21,8
Nigeria,64,21,8
Nigeria,65,21,8
Nigeria,66,21,8
Nigeria,67,21,8
Nigeria,68,21,8
Nigeria,69,21,8
Nigeria,70,21,8
Nigeria,71,21,8
Nigeria,72,21,8
Nigeria,73,21,8
Nigeria,74,21,8
Nigeria,75,21,8
Nigeria,76,21,8
Nigeria,77,21,8
Nigeria,78,21,8
Nigeria,79,21,8
Nigeria,80,21,8
Nigeria,81,21,8
Nigeria,82,21,8
Nigeria,83,21,8
Nigeria,84,21,8
Nigeria,85,21,8
Nigeria,86,21,8
Nigeria,87,21,8
Nigeria,88,21,8
Nigeria,89,21,8
Nigeria,90,21,8
Nigeria,91,21,8
Nigeria,92,21,8
Nigeria,93,21,8
Nigeria,94,21,8
Nigeria,95,21,8
Nigeria,96,21,8
Nigeria,97,21,8
Nigeria,98,21,8
Nigeria,99,21,8
Nigeria,100,21,8
Nigeria,101,21,8
Nigeria,102,21,8
Nigeria,103,21,8
Nigeria,104,21,8
Nigeria,105,21,8
Nigeria,106,21,8
Nigeria,107,21,8
Nigeria,108,21,8
Nigeria,109,21,8
Nigeria,110,21,8
Nigeria,111,21,8
Nigeria,112,21,8
Nigeria,113,21,8
Nigeria,114,21,8
Nigeria,115,21,8
Nigeria,116,21,8
Nigeria,117,21,8
Nigeria,118,21,8
Nigeria,119,21,8
Nigeria,120,21,8
Nigeria,121,21,8
